Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
3344,5,3,1984,Partially,56.67,4.78,8331,Good,10.41,1.78,,High,9.31,7.72,659544.398673903
2704,2,1,1963,Partially,74.51,8.97,1166,Good,35.17,8.9,52.0,High,12.85,1.53,527564.4406028013
1598,5,2,1963,Fully,67.41,3.03,3312,Poor,10.24,1.69,105.0,Low,10.25,4.82,585741.437234588
2323,1,3,1982,Fully,70.26,2.86,2975,Good,5.46,3.51,189.0,High,1.46,3.58,641585.6377053186
3701,2,2,2001,None,75.63,4.26,7473,Excellent,5.73,4.34,75.0,Medium,5.41,9.74,822844.0269962284
3655,2,1,1950,Partially,64.85,6.73,3600,Good,38.65,4.81,109.0,Low,12.35,4.39,617763.8175513447
3593,4,3,1983,Fully,,5.07,3901,Excellent,2.41,3.68,107.0,High,14.51,6.97,964885.5892991909
4030,5,3,1968,Fully,101.27,6.87,5515,Excellent,15.18,9.13,57.0,Low,-3.06,3.42,856735.2512813839
4278,2,2,1973,Partially,39.97,3.28,3051,Average,7.33,6.62,75.0,Medium,-2.51,9.85,784798.3046535363
3396,2,3,1953,Partially,,4.09,2651,Good,37.99,3.66,159.0,High,14.12,2.62,723847.096020872
3953,4,3,1985,Partially,112.75,6.52,7137,Average,25.67,3.64,98.0,High,12.45,9.16,1037402.7493071667
4011,4,3,2007,Fully,77.85,3.74,887,Good,11.07,5.08,,High,-0.78,5.01,821666.5157953908
1488,5,3,1981,Fully,65.84,5.38,6364,Good,37.77,0.43,70.0,High,14.4,4.85,515635.4065000352
4616,1,1,1958,Partially,66.42,6.58,3661,Good,37.77,9.27,190.0,Medium,-0.82,7.31,732790.3098400396
4526,1,3,2016,Partially,70.38,9.79,2880,Excellent,26.63,2.31,148.0,Medium,-3.23,1.84,697047.1184339633
4679,3,2,1969,Fully,81.46,2.64,9068,Good,14.52,7.01,,High,8.64,5.92,923938.0995498006
2182,2,1,2011,Partially,68.59,5.68,4835,Good,29.73,7.8,138.0,Medium,5.8,2.98,442611.29521537287
4463,5,2,2007,Partially,73.8,5.17,1780,Good,46.74,8.29,70.0,Medium,-0.21,2.41,791113.7731115062
1433,2,2,1971,None,60.66,8.59,1243,Average,3.53,1.74,63.0,Medium,13.57,8.9,594578.9946684097
4098,5,2,2016,Fully,68.15,9.2,7856,Excellent,14.08,5.41,185.0,Medium,3.08,9.98,804873.3327527012
3733,5,1,1997,None,68.82,9.26,3986,Good,14.96,0.93,56.0,Medium,3.06,9.74,734027.085495804
2480,5,1,1957,None,74.46,5.0,8523,Average,31.96,8.07,148.0,Medium,7.64,8.39,663239.6661955175
2355,2,1,2022,None,53.17,4.44,1568,Good,32.91,4.92,179.0,High,-0.38,9.28,1302246.6782889338
3556,4,3,1964,None,70.05,5.59,9700,Average,11.11,1.67,118.0,Medium,6.74,9.32,729547.4367906061
1292,2,2,1981,None,71.78,4.75,7471,Average,11.59,7.21,115.0,Low,2.28,2.59,421461.9326998742
1291,5,1,2002,Fully,77.77,7.75,8026,Poor,46.48,3.38,67.0,Medium,8.9,1.77,519066.54700949474
2309,3,2,2016,Partially,95.98,3.71,9034,Good,38.06,1.23,193.0,Medium,-0.05,2.14,654031.0097346753
2755,1,1,1953,Partially,,7.27,1130,Poor,46.78,4.66,,Medium,-1.29,2.46,647240.8620378558
4110,5,1,1979,Partially,56.74,9.42,797,Average,41.65,2.43,157.0,High,-0.0,8.4,584638.6613968338
2107,3,1,1962,Partially,76.98,4.24,8648,Average,20.7,9.51,109.0,Medium,13.72,9.47,651402.6946942653
1484,4,2,1970,Partially,64.37,7.42,9389,Poor,6.97,3.68,103.0,Low,11.98,4.17,534912.4311259186
4176,5,3,1990,None,63.98,3.15,5816,Good,31.85,5.77,89.0,Medium,11.58,1.31,769081.8385218673
3880,3,1,1968,Fully,70.56,2.97,2005,Average,18.25,9.49,199.0,High,10.61,3.77,779117.3099252335
1019,5,1,1997,Fully,67.21,2.93,3325,Good,21.85,4.0,53.0,Medium,7.74,7.36,393272.6263451307
1090,2,1,2012,Partially,59.02,3.11,9070,Good,21.87,3.65,70.0,High,-3.03,9.49,387612.8602783813
1550,3,3,1969,Fully,67.72,3.73,9397,Good,46.89,1.71,140.0,High,1.49,5.05,514040.9905814958
4133,2,2,2013,Partially,81.84,6.5,2914,Excellent,4.37,9.39,90.0,High,6.24,4.02,832143.8494749053
4944,2,2,1986,Fully,75.61,8.14,6156,Good,10.46,8.03,193.0,High,-2.89,6.88,859549.761524213
1459,3,2,1980,Partially,60.11,3.01,9462,Poor,30.79,2.29,145.0,Low,-4.4,2.9,389794.24301012297
1192,1,2,1967,Partially,62.09,8.96,9786,Average,44.3,3.39,85.0,Medium,-3.13,7.89,385828.198883771
4399,3,1,1969,Fully,76.85,8.74,5647,Average,45.98,9.16,171.0,Medium,-2.84,4.73,765315.1564594259
4973,1,3,1960,Fully,,7.82,4944,Average,28.38,5.42,66.0,Medium,-2.81,9.8,1446993.2538815748
3446,5,1,1993,Partially,61.55,5.41,8047,Good,2.69,5.61,140.0,Low,-1.2,9.41,792430.9112452148
1026,5,3,2013,Partially,66.43,2.01,9923,Excellent,18.78,6.52,184.0,Medium,4.98,6.99,545200.0154045008
3724,3,2,1983,Partially,60.42,7.88,1946,Good,46.02,7.65,167.0,Low,0.71,6.83,657028.3907463987
2753,5,3,2014,Partially,76.51,9.03,2902,Excellent,25.5,9.4,151.0,High,12.2,2.11,685027.5845411503
3844,4,1,2004,Partially,70.38,4.68,6142,Average,36.6,8.04,111.0,Low,12.52,3.53,797285.3210279754
4465,2,1,1950,Partially,96.06,7.74,2326,Average,14.19,9.35,167.0,Low,13.4,8.76,909122.9334843016
2375,2,2,1987,Fully,57.57,2.5,8418,Good,2.23,8.22,133.0,High,4.42,4.27,498085.04625981255
2263,1,1,1958,None,92.26,7.68,4347,Excellent,29.34,0.56,106.0,High,10.48,4.82,613147.9137028237
1020,5,1,2020,Fully,78.56,2.55,1592,Good,41.91,1.26,148.0,Medium,6.82,8.56,486386.5505448358
1516,1,3,1966,None,97.37,6.7,5177,Good,49.52,8.86,82.0,High,-2.11,4.84,581035.1770289636
616,2,1,2001,Partially,95.33,6.78,2220,Good,42.48,0.37,75.0,Medium,7.71,8.65,499298.1622760875
2933,2,2,1967,Partially,68.59,4.42,1382,Good,28.15,7.96,137.0,Medium,11.74,1.62,731218.6196184774
1083,5,2,2012,None,53.87,2.63,623,Good,30.83,8.51,73.0,High,1.96,7.22,382631.90614465263
894,4,1,1982,None,72.79,9.59,3990,Poor,41.38,4.21,80.0,High,9.93,1.57,375699.89740859147
4288,4,2,1953,None,45.35,6.28,6297,Good,1.97,3.61,76.0,Medium,10.49,8.11,695632.2987649986
3268,5,3,2001,Partially,84.89,6.64,1102,Average,47.63,2.02,98.0,High,7.87,5.97,701746.3629345632
4667,5,3,1958,Fully,77.27,6.92,4331,Average,27.03,0.58,122.0,High,12.67,6.0,836077.286892271
4360,1,1,2013,None,66.02,9.13,5960,Good,47.65,7.48,65.0,Medium,-2.1,4.39,748846.0077529008
773,5,1,1979,Fully,68.26,2.48,8996,Average,38.46,0.83,158.0,Medium,11.87,9.13,404272.1981747237
2513,4,3,1957,None,59.67,9.15,7446,Good,8.46,9.45,183.0,Medium,7.21,5.58,619752.2035996736
4933,5,2,1954,Partially,74.52,3.92,3728,,9.1,3.04,136.0,High,12.11,3.34,1017469.237747277
1889,1,1,2012,None,60.12,2.62,9943,Excellent,18.33,7.96,160.0,Medium,5.65,8.42,456993.58938124584
4066,1,1,1950,None,74.44,7.26,9628,Average,13.94,0.69,170.0,Medium,1.56,9.53,760790.7642117555
665,1,2,1964,Fully,80.3,9.82,7008,Good,22.53,5.41,194.0,Medium,12.94,3.18,371261.48648794286
2067,1,1,1987,Partially,84.75,2.46,2813,Good,30.59,3.56,,High,12.55,6.45,580957.1446714179
1228,3,2,1991,Fully,81.68,5.41,3789,Excellent,22.39,0.4,139.0,Low,0.35,6.3,573052.6963439066
2543,5,2,1995,Fully,70.53,6.24,7496,Excellent,3.76,6.59,62.0,Medium,9.88,6.49,780637.9167389203
4697,2,2,2002,Partially,81.66,4.02,5344,Average,48.81,9.44,184.0,High,-3.17,6.08,769860.4966513198
3996,5,2,1975,Fully,77.03,9.86,2698,Average,21.83,0.21,67.0,Medium,-3.28,1.9,864987.3614784814
1278,3,2,2010,None,76.9,7.13,9377,Good,42.7,2.78,,High,5.23,4.71,365640.9315477697
713,1,3,2016,None,59.6,8.75,4735,Good,4.62,7.07,94.0,High,-4.28,9.87,278079.53722968564
4262,3,2,2003,Partially,56.28,5.33,8746,Poor,40.69,8.73,81.0,Low,3.68,1.79,693627.2164547009
2076,4,3,1971,Fully,78.87,4.83,3712,Average,9.5,1.99,56.0,Low,10.81,7.03,639555.5689246395
2948,4,2,1975,None,82.3,6.43,4669,,34.29,0.8,69.0,Medium,12.79,9.05,1358366.9962227421
3436,5,1,2009,None,65.68,5.48,3706,Excellent,33.43,0.19,171.0,Low,0.1,2.81,1879653.0388336724
3617,5,3,1988,None,92.61,7.72,1141,Good,45.58,2.23,196.0,Medium,-3.46,8.22,826391.523752425
1091,2,1,1985,Partially,108.2,4.13,5339,Average,16.71,0.81,159.0,Low,7.61,3.18,642682.4690534939
3220,2,2,1970,None,101.3,5.6,6669,Good,6.34,3.66,63.0,Low,0.3,1.27,1410678.2552226405
1213,4,2,1990,Fully,71.0,9.16,8155,Average,43.36,4.46,58.0,Low,-4.53,5.69,467473.88963134616
1435,1,1,1997,None,68.5,8.05,561,Average,17.25,4.85,,Low,-2.38,7.4,474009.3286421071
4837,3,2,1975,None,86.8,3.34,1723,Excellent,12.39,1.51,139.0,Medium,13.77,2.77,930157.8331545256
501,2,1,2012,None,85.18,9.09,992,Average,24.82,4.69,142.0,Medium,12.5,1.63,414353.0606566878
3348,2,2,1985,Fully,58.3,6.71,7322,Excellent,8.16,0.19,65.0,High,11.59,5.98,644463.5835631838
4544,1,2,1973,None,71.37,7.43,7111,Average,15.55,2.47,185.0,Low,1.79,2.33,863021.4671611383
2449,1,3,1970,Partially,84.92,4.35,1639,Poor,19.88,3.75,128.0,Low,9.29,2.66,671932.9877618934
1417,5,1,1967,Partially,61.56,5.53,5990,Poor,14.59,1.27,163.0,High,14.14,7.33,493397.76495413994
3674,3,2,1964,None,63.83,8.45,7294,Average,23.06,8.16,,High,6.35,6.51,655453.3619304856
2741,1,1,1955,Fully,66.09,4.65,1755,Good,19.85,2.09,73.0,High,1.66,9.52,548888.6612301013
589,2,3,1992,Partially,69.01,3.32,2995,Average,38.95,7.57,185.0,High,10.99,3.91,273291.5387565022
2209,2,1,1980,None,51.46,5.03,3785,Average,46.0,4.79,50.0,Medium,3.61,2.93,395954.1155328422
2669,4,3,1977,None,85.39,2.55,2755,Excellent,5.95,4.85,123.0,Medium,6.55,6.9,727385.9162296975
4738,1,1,1957,None,63.99,7.74,9693,Excellent,41.34,6.49,160.0,High,5.82,9.75,700292.830872125
3541,5,1,1978,Fully,78.04,3.18,1625,Good,46.66,0.54,151.0,High,-0.65,5.98,701857.4168776837
605,3,3,1970,None,76.43,4.28,4381,Excellent,34.64,0.88,80.0,High,-4.99,3.64,520080.97195576434
1386,5,2,2007,Fully,59.82,9.05,4605,Poor,49.82,3.34,126.0,High,14.98,9.19,471884.784227337
927,2,2,2009,None,48.51,6.32,1646,Good,17.42,4.23,111.0,Medium,3.34,6.49,394793.05840910214
2395,5,2,1999,Fully,,4.57,1286,Good,41.69,4.36,84.0,High,0.68,2.91,580676.2303283012
816,2,1,1980,None,68.46,6.38,758,Good,34.01,6.8,71.0,Medium,10.32,9.55,358955.7175247344
1134,2,1,1996,Partially,81.83,3.75,4349,Average,16.85,0.11,184.0,High,6.85,3.46,444016.13020382775
2425,2,2,1983,None,87.18,2.2,6930,Poor,35.53,9.6,183.0,Medium,12.61,9.09,564317.6306273271
2556,2,1,1951,Partially,44.42,6.83,6674,Excellent,25.97,1.83,61.0,Low,10.62,6.53,499745.19502645516
3644,2,1,2016,Partially,71.53,7.71,5116,Average,10.26,2.56,180.0,Medium,0.64,5.52,706330.2321403538
2770,4,2,2021,Partially,,9.04,8680,Good,9.52,9.07,149.0,High,6.84,3.99,779345.8245648537
1939,5,3,2001,None,96.56,8.18,1215,Good,35.96,0.15,92.0,High,5.05,2.07,656318.6310068838
1052,4,1,1956,Partially,47.52,9.41,2143,Average,35.88,9.91,123.0,Low,14.1,3.2,215543.45717550567
1215,4,1,1968,Fully,92.28,9.89,623,Good,27.01,0.46,57.0,Medium,-0.21,3.98,480176.5437277662
4411,1,1,1964,Partially,59.86,7.96,2273,,25.57,1.29,190.0,High,0.68,3.6,676043.0636619827
2213,1,1,1997,None,85.59,8.94,9613,Good,9.82,2.48,196.0,High,13.41,1.66,500955.2246290022
3889,1,3,1963,Fully,66.77,7.39,2677,Excellent,22.04,4.44,72.0,High,4.16,6.22,705023.9554947005
1607,3,2,1952,Fully,86.2,3.37,7389,Excellent,43.7,5.23,92.0,High,4.15,5.28,589772.2887866567
4706,1,1,1999,Partially,69.57,3.45,2003,Excellent,42.88,1.14,73.0,Medium,12.36,1.96,755578.6012920763
750,5,2,2003,None,53.42,2.88,6161,Average,33.39,0.83,180.0,Medium,0.92,5.17,1142396.6967006926
2930,4,1,1955,Fully,66.28,9.54,7594,Excellent,49.87,0.42,191.0,Low,8.94,1.71,602999.5354185702
2554,5,3,1998,None,,7.38,2624,Good,44.77,2.64,,High,9.43,9.38,699915.0197774526
958,1,2,1972,None,68.66,8.32,3754,Good,8.12,9.22,189.0,Medium,3.85,3.33,325242.9563507673
707,3,3,1969,Fully,58.9,4.65,2913,Poor,20.56,3.96,95.0,High,1.68,7.52,395503.2306885766
1399,3,1,2009,Fully,55.93,5.68,4887,Average,7.46,7.66,,Medium,9.93,3.26,387420.4537760732
3961,4,3,1994,None,62.86,2.32,6589,Poor,23.84,1.98,95.0,Medium,0.12,5.27,836124.5320714505
3885,5,3,2010,None,62.73,9.11,6333,Excellent,39.04,0.74,131.0,Low,11.39,9.4,689790.9025789606
521,2,1,2005,None,83.61,8.82,656,Average,8.63,5.59,193.0,Medium,3.33,8.85,1307536.842687275
909,5,1,1951,Partially,69.07,8.28,9815,Excellent,44.14,8.24,107.0,High,-4.63,8.01,384281.5189494227
1394,1,2,1994,Fully,70.52,2.47,5503,Average,28.88,8.99,191.0,Low,6.39,8.11,459624.3983278402
1014,2,1,1989,Partially,72.3,3.39,6253,Good,37.7,5.51,134.0,Low,-1.11,8.41,928035.5039130815
4609,3,2,1973,Partially,83.1,4.67,1417,Average,3.21,3.01,,High,4.33,7.68,844099.7300058944
2634,4,3,1978,Partially,84.56,4.1,6753,Good,5.6,1.18,151.0,Low,11.17,9.07,785442.2668266449
4095,4,3,2016,Partially,67.1,8.71,2202,Excellent,31.42,6.71,192.0,Low,-1.2,4.15,757581.10625589
3456,3,2,2017,Fully,71.04,3.56,2165,Average,42.07,2.88,123.0,Low,-0.84,5.74,748763.4790060406
2060,1,1,2015,Partially,84.64,6.26,5889,Poor,43.82,8.46,93.0,Medium,4.48,6.82,526916.8056592123
1766,3,1,2003,Fully,64.56,6.57,7663,Excellent,34.73,6.09,186.0,Medium,4.53,2.78,491310.92468248436
2669,1,3,2002,Fully,66.79,5.4,6307,Poor,10.85,8.6,141.0,High,4.07,5.53,584073.4647640989
4138,2,2,1998,None,84.61,3.93,2611,Excellent,10.56,5.71,131.0,High,8.89,2.12,883618.443651272
1249,3,3,1981,Fully,66.39,9.68,4214,Average,44.19,7.74,188.0,Low,0.38,6.5,445029.6282223632
3927,1,3,2010,Partially,78.71,5.31,7483,Poor,6.55,3.01,151.0,Medium,0.21,1.88,837851.3248367632
2427,2,1,1991,Fully,51.31,7.82,5610,Excellent,34.62,5.08,115.0,High,-4.55,5.53,487420.80415771855
4304,3,2,1950,Fully,83.76,3.47,2897,Good,27.14,0.29,71.0,Medium,2.63,5.15,934001.7625463593
4202,4,3,2012,Partially,71.99,8.58,5954,Good,21.65,6.12,136.0,High,-1.08,2.01,768401.9662241084
2856,3,1,1984,Fully,81.1,3.73,2055,Good,22.58,5.38,197.0,High,6.83,4.95,662551.8189453811
2835,5,3,2000,Fully,91.79,7.4,5002,Average,47.32,7.58,158.0,Medium,-1.38,7.1,684137.6062701043
806,3,3,2020,None,69.99,6.05,843,Average,43.21,7.32,139.0,High,12.89,6.35,391350.87596281315
4165,5,1,1994,Fully,52.0,3.17,2044,Poor,43.38,6.31,90.0,High,11.98,5.12,689496.8618215258
2489,2,1,2014,Fully,69.57,2.2,4496,Excellent,20.92,0.66,172.0,Low,10.3,4.28,550447.0202670459
1161,3,2,1963,None,93.22,9.45,7348,Good,6.24,9.04,161.0,High,11.17,1.52,534253.7103887355
811,2,3,1952,Fully,77.55,3.01,8730,Good,49.89,0.28,142.0,Medium,14.19,9.6,414122.447960602
3420,2,2,1973,None,59.03,7.64,4882,Poor,8.12,8.05,132.0,Medium,1.4,4.62,639172.3191861092
1582,1,1,2014,Fully,72.09,7.22,8546,Excellent,26.26,4.85,97.0,Medium,14.6,4.75,402182.311890513
3471,2,1,1997,Fully,82.32,4.73,5486,Poor,13.97,8.2,76.0,Medium,12.81,2.16,741179.3787053279
1254,2,3,1959,Partially,73.12,3.48,3923,Good,26.03,4.7,143.0,High,2.24,5.79,480404.7141009405
4630,3,2,1962,None,72.71,3.43,9720,Average,15.94,6.5,141.0,Low,12.28,9.81,854946.7668484031
852,3,2,2022,Fully,64.29,6.68,735,Good,44.95,3.7,105.0,Medium,12.95,3.28,319828.2682230701
1402,4,3,1963,Partially,65.5,6.38,8493,Average,48.45,7.46,184.0,Medium,-4.28,3.82,500732.88113167934
4388,1,3,1959,Fully,78.34,9.01,9660,Good,21.09,2.62,119.0,Medium,12.52,3.13,751496.559886704
658,2,2,1989,Fully,82.39,7.12,5724,Average,4.44,7.22,70.0,Medium,3.66,8.8,1245840.0432666012
2477,1,1,1972,None,72.4,8.55,1730,Average,33.5,2.01,96.0,High,11.23,5.28,1766433.976837659
1456,5,1,2004,Fully,,2.26,738,Good,19.45,7.25,109.0,Medium,-2.78,8.41,483136.47854509455
2571,2,3,2012,None,86.35,7.37,5424,,49.31,3.01,161.0,Medium,-1.56,8.65,645577.2656876537
903,1,2,2020,Fully,68.64,3.87,551,Average,5.38,2.86,194.0,Medium,14.58,7.74,327578.9090392925
3279,4,2,1991,None,79.34,4.02,1556,Good,6.84,8.13,139.0,High,3.32,3.35,680683.9176874291
1887,4,2,2015,Partially,83.0,7.76,8713,Average,35.27,8.16,66.0,High,10.97,1.32,559338.2190700893
3953,2,1,2022,None,56.04,8.35,8998,,38.17,6.94,75.0,Medium,10.0,2.29,588010.7376982104
1455,5,1,1996,Fully,77.1,4.97,8109,Good,24.08,9.25,,Medium,10.72,7.27,567593.863388843
2212,4,2,2001,None,34.54,8.32,3109,Good,14.59,1.65,59.0,Medium,10.29,7.66,478080.3322087693
1773,4,2,1967,Partially,73.46,5.55,4100,Average,16.18,2.77,130.0,High,13.28,7.9,659215.1919451789
4311,5,3,1967,Partially,83.69,8.86,2465,Average,17.56,3.01,180.0,Medium,6.85,3.2,938422.6983070888
3125,1,3,1973,None,80.05,2.2,7032,Average,12.04,3.12,108.0,High,3.51,2.38,717551.7372971385
2882,4,2,1972,Partially,87.0,2.67,4078,Excellent,42.68,3.35,161.0,Medium,13.5,9.31,742515.6903858684
1941,3,2,1961,None,80.26,8.21,6061,Poor,4.19,7.0,129.0,High,2.14,6.98,587514.5878894766
3479,4,1,1972,Partially,66.86,6.99,3043,Good,20.96,2.78,97.0,High,7.61,7.68,637825.2767822946
2297,1,2,1970,Partially,51.91,6.47,1004,Average,37.63,2.93,140.0,High,12.1,1.85,481186.7140404059
4890,1,3,2013,None,76.7,6.91,8828,Good,1.19,5.75,182.0,Medium,13.32,4.71,934624.0553202318
4509,2,1,2021,Fully,82.18,9.44,5584,Excellent,44.02,2.01,125.0,High,13.99,1.57,747068.1739905196
1894,3,3,1983,Partially,48.64,7.24,9994,Good,35.61,3.71,134.0,High,8.2,6.92,513034.92993312166
4781,1,3,1951,None,81.06,7.18,4514,Good,4.6,0.67,56.0,Medium,9.4,5.4,898706.5078749416
1769,5,1,2018,Partially,76.32,8.08,6807,Poor,44.85,9.53,194.0,High,4.95,5.06,566070.5343787479
4214,3,3,1980,Fully,69.53,8.93,4114,Excellent,24.88,3.24,58.0,Low,0.7,9.13,803269.5375809303
1029,3,2,2017,Partially,81.6,4.1,5642,Excellent,32.96,8.52,138.0,Low,-4.68,7.66,378684.5010380517
4123,5,3,2019,None,70.87,6.93,6571,Excellent,44.22,5.35,86.0,Low,-0.56,9.68,896285.0086603055
3458,4,1,1968,None,69.91,6.67,5306,Good,44.18,2.36,184.0,Low,14.6,1.42,743598.0160548337
3414,5,1,2021,None,55.93,3.08,1006,Good,21.03,2.01,66.0,Low,11.13,6.54,738087.6477762894
4091,5,1,1962,Partially,81.07,6.16,4503,Good,12.65,6.98,168.0,Low,4.58,6.67,731395.3842794019
2647,4,3,2014,Partially,55.41,2.56,9399,Good,13.61,9.65,90.0,High,1.87,1.24,507718.89299501164
3869,4,2,1955,Fully,64.74,3.48,8111,Excellent,38.53,1.91,113.0,High,-3.71,8.08,785331.6795596586
1439,4,1,2020,Fully,81.84,9.3,2207,Good,46.54,1.24,132.0,Low,-4.8,2.38,517817.08695236436
1025,4,2,1976,Fully,72.49,2.95,8993,Excellent,4.54,3.93,,Medium,10.1,7.31,448514.90586813935
501,4,1,2001,Fully,,6.63,2944,Average,1.74,4.0,94.0,Low,14.71,1.34,554293.4438935721
874,5,2,1997,None,83.89,4.59,9009,Average,41.32,8.08,122.0,Low,0.08,6.52,475037.7178955681
2840,2,2,2017,None,86.27,6.44,6406,Average,19.94,4.74,158.0,Low,0.49,5.69,612506.4080888565
4505,2,2,1993,Partially,87.81,3.88,3455,Poor,14.55,0.72,159.0,High,13.69,5.35,868588.3866281098
3552,1,1,1966,None,71.38,5.56,3427,Average,10.23,9.21,185.0,High,7.04,4.3,784633.2849844967
2865,2,3,1987,None,67.02,8.94,1357,Good,17.98,3.79,159.0,Medium,-1.52,4.78,570444.9441381178
2025,2,3,1959,Partially,56.79,5.01,3220,Good,48.6,6.72,158.0,Medium,-4.09,5.29,359430.64571406133
4976,5,3,2003,Partially,53.2,4.82,3522,Poor,48.88,6.71,140.0,Low,6.27,3.68,800344.4683506346
2146,4,2,1955,Fully,92.21,5.57,9368,Average,17.24,0.66,136.0,Low,4.05,9.42,535823.1452841003
513,4,1,1955,Partially,65.67,2.8,878,Good,48.22,0.14,187.0,Low,3.64,9.69,331054.69024689007
2778,5,2,2001,Fully,88.41,5.1,8908,Good,15.69,0.97,93.0,Medium,14.39,3.7,680427.2730836584
3655,2,1,1964,Partially,52.92,2.06,6558,Poor,42.87,9.57,97.0,Medium,0.26,8.01,548878.0889095344
629,5,2,2017,None,,6.03,7918,Average,11.39,7.96,120.0,Low,4.76,7.76,454390.6042734367
4314,1,1,2006,Partially,,8.78,5463,Good,41.5,1.41,51.0,Medium,-0.73,8.88,721116.7328200614
3716,4,1,2005,Fully,78.99,6.42,5351,Poor,18.33,6.19,129.0,Low,1.44,1.03,712642.7013136123
3438,3,1,1956,Partially,79.39,6.86,3489,Poor,10.59,6.16,167.0,High,10.32,4.04,817762.363109631
4428,1,2,2000,Partially,66.21,2.24,4330,Good,46.8,0.11,55.0,High,-1.05,2.3,1138592.684811217
2540,1,3,2007,Fully,61.46,8.88,5903,Average,11.5,4.35,129.0,Low,8.53,4.52,572063.7730863033
527,5,2,2013,Fully,74.33,5.08,7350,Average,49.6,7.15,138.0,High,-2.41,6.18,385789.4558375859
2613,2,2,1975,None,58.11,9.8,9982,Excellent,6.32,1.95,,High,-1.19,9.18,568043.8213342667
1752,4,1,2007,Fully,73.39,2.96,2439,Average,1.49,8.52,59.0,High,-4.54,8.56,613289.1032160001
4856,3,1,1980,None,89.72,9.56,5194,Good,43.67,6.64,186.0,High,7.61,5.49,892104.8778253313
2546,1,3,2015,Partially,55.99,7.07,7825,Average,29.74,0.17,81.0,High,14.81,1.21,461562.3142298772
4523,3,3,1962,Partially,84.63,2.42,8215,Poor,21.66,8.56,51.0,Medium,8.13,3.71,945359.5018204583
4896,2,1,1967,Fully,89.94,9.77,8927,Good,5.02,0.29,70.0,Medium,13.47,1.96,872313.7973552032
3874,2,3,1962,None,71.1,2.11,8127,Good,29.17,8.89,180.0,Medium,5.53,6.86,626352.9192034125
3966,3,3,1973,None,,7.85,4695,Poor,20.29,3.4,142.0,Medium,8.61,7.26,861044.5617089466
3581,4,1,2006,Fully,67.81,9.12,3286,Poor,24.7,7.02,170.0,Medium,13.51,6.84,675789.9987705791
4278,2,2,1978,Fully,70.35,3.41,1877,Excellent,31.89,7.9,72.0,Medium,-3.28,3.47,835409.5684533755
1129,3,3,2005,Fully,,4.75,3255,Poor,32.36,2.88,85.0,Medium,6.95,9.28,504816.0992132888
769,1,1,2003,None,85.87,6.49,2583,Excellent,48.07,3.63,63.0,Medium,6.51,6.3,403966.70688499714
3139,3,3,1954,Partially,80.9,7.44,4909,Good,33.1,5.14,64.0,Low,-4.34,6.38,784843.0574369901
2493,3,3,1984,Fully,84.12,8.98,7070,Average,17.63,5.87,84.0,Medium,-1.88,8.34,586813.3677210589
3391,5,1,1968,Partially,78.0,8.09,5112,Average,17.15,2.99,169.0,Medium,6.05,1.62,769346.9852285662
3932,2,3,2004,Partially,56.6,4.91,6607,Average,24.38,9.92,71.0,Medium,4.95,2.89,739535.6764830197
1780,4,3,2018,None,90.96,8.57,4604,Excellent,13.71,7.4,85.0,High,1.88,6.31,661039.3527410115
2860,4,3,1993,Partially,61.6,9.73,4049,Excellent,19.45,2.81,64.0,High,8.95,6.49,1512758.3524329592
1075,5,2,1987,Fully,,3.82,4652,Poor,42.26,6.44,170.0,Low,2.2,5.2,453769.6961639123
1807,4,2,2011,Fully,87.8,2.59,8157,Excellent,43.13,4.41,,Medium,10.38,8.02,620944.0226919656
3692,3,3,1971,Partially,53.98,5.41,5978,Excellent,31.76,8.62,,Medium,11.18,4.11,717758.8303980349
3678,5,1,2022,Fully,84.37,9.05,3141,Average,29.56,3.36,138.0,High,7.89,1.1,850849.1012746845
3234,1,3,1989,None,57.12,3.2,5525,Average,21.93,1.96,123.0,Low,0.58,4.06,658025.384186608
2712,2,3,1975,Partially,83.92,9.09,8264,Good,32.16,0.56,75.0,High,11.05,9.69,620429.4413735352
2852,2,2,1954,Partially,93.04,9.94,2612,Excellent,40.5,9.84,79.0,Low,0.04,8.01,735543.2972106838
4068,2,2,2003,Partially,63.94,2.43,4000,Average,37.15,3.66,171.0,High,1.06,3.86,751037.5561770551
2155,3,2,1998,None,61.99,5.96,6487,Poor,2.74,2.28,152.0,High,7.18,3.0,500785.48150089243
2079,1,3,1952,Partially,76.14,4.63,8124,Excellent,36.83,4.97,189.0,Medium,8.78,8.29,678996.4363920653
2703,5,3,1987,None,61.51,5.15,9701,Good,36.28,2.99,80.0,Medium,2.43,2.8,752374.2057449493
1890,5,1,1963,Partially,42.34,5.61,2129,Good,5.85,2.41,158.0,Medium,6.83,6.22,450040.5966196635
2242,2,3,1996,None,74.62,7.92,9541,Average,8.36,6.2,160.0,High,-0.04,5.57,513656.2343134637
2425,1,3,1963,Partially,80.03,6.73,7861,Good,39.61,0.84,160.0,High,10.9,4.8,525981.38618563
